"","SalePrice","GrLivArea","Neighborhood"
"157",225000,2008,"Edwards"
"158",137500,1054,"NAmes"
"159",105500,832,"NAmes"
"160",67000,864,"Edwards"
"161",160000,1116,"NAmes"
"162",139900,1422,"NAmes"
"163",153000,1520,"NAmes"
"164",135000,2080,"NAmes"
"165",168500,1350,"NAmes"
"166",139400,1056,"NAmes"
"167",60000,800,"BrkSide"
"168",85000,796,"Edwards"
"169",345000,2704,"NAmes"
"170",143250,981,"NAmes"
"171",98300,1048,"NAmes"
"172",155000,1094,"Edwards"
"173",155000,1839,"NAmes"
"174",108000,1510,"Edwards"
"175",145500,1053,"NAmes"
"176",97500,1458,"NAmes"
"177",167000,1486,"Edwards"
"178",110000,1392,"NAmes"
"179",137500,1181,"Edwards"
"180",129000,2380,"NAmes"
"181",103600,1369,"Edwards"
"182",140000,1136,"NAmes"
"183",141500,1539,"BrkSide"
"184",89000,616,"BrkSide"
"185",123500,1148,"Edwards"
"186",52000,729,"BrkSide"
"187",129000,960,"BrkSide"
"188",124500,864,"NAmes"
"189",135000,1470,"Edwards"
"190",320000,1698,"Edwards"
"191",120500,864,"NAmes"
"192",110000,1776,"NAmes"
"193",93500,1040,"NAmes"
"194",179000,1200,"Edwards"
"195",98000,1529,"Edwards"
"196",156000,1026,"NAmes"
"197",127500,864,"NAmes"
"198",100000,1301,"BrkSide"
"199",102000,1220,"Edwards"
"200",107000,1117,"Edwards"
"201",114500,912,"NAmes"
"202",110000,773,"NAmes"
"203",118000,1128,"NAmes"
"204",135500,980,"NAmes"
"205",223500,1576,"BrkSide"
"206",159950,1086,"NAmes"
"207",157900,1442,"NAmes"
"208",116000,1250,"Edwards"
"209",137000,1008,"NAmes"
"210",109500,784,"BrkSide"
"211",166000,1392,"NAmes"
"212",167000,1516,"NAmes"
"213",139950,1144,"NAmes"
"214",130500,1200,"Edwards"
"215",174900,1165,"NAmes"
"216",141000,1800,"NAmes"
"217",158000,1445,"NAmes"
"218",132500,1148,"NAmes"
"219",148500,1002,"NAmes"
"220",109500,894,"NAmes"
"221",116000,910,"NAmes"
"222",133000,1268,"NAmes"
"223",157000,1090,"Edwards"
"224",100000,892,"NAmes"
"225",145000,1712,"NAmes"
"226",135500,1393,"Edwards"
"227",268000,2217,"NAmes"
"228",149500,1505,"NAmes"
"229",122900,924,"NAmes"
"230",140000,1796,"NAmes"
"231",110000,858,"NAmes"
"232",153000,1306,"NAmes"
"233",128000,1063,"NAmes"
"234",154300,2274,"NAmes"
"235",88000,1015,"BrkSide"
"236",135000,1229,"Edwards"
"237",176500,1414,"NAmes"
"238",145900,2200,"Edwards"
"239",117500,925,"NAmes"
"240",242000,2069,"NAmes"
"241",79900,747,"BrkSide"
"242",150000,1440,"Edwards"
"243",143000,1144,"NAmes"
"244",129000,864,"NAmes"
"245",127500,980,"Edwards"
"246",116500,858,"BrkSide"
"247",135000,1098,"NAmes"
"248",140000,1095,"NAmes"
"249",135000,1192,"NAmes"
"250",167500,2019,"BrkSide"
"251",85500,869,"BrkSide"
"252",110000,894,"Edwards"
"253",178400,999,"NAmes"
"254",125000,1164,"Edwards"
"255",187000,1851,"NAmes"
"256",121600,1230,"BrkSide"
"257",136500,1050,"NAmes"
"258",82000,944,"Edwards"
"259",163500,1657,"NAmes"
"260",100000,1664,"Edwards"
"261",119200,1082,"NAmes"
"262",176000,1132,"Edwards"
"263",167500,1264,"NAmes"
"264",105000,1376,"NAmes"
"265",84000,845,"Edwards"
"266",139600,1733,"Edwards"
"267",84900,930,"Edwards"
"268",165000,1977,"NAmes"
"269",144500,1526,"Edwards"
"270",154000,1154,"NAmes"
"271",167900,1611,"NAmes"
"272",135000,893,"NAmes"
"273",135000,1048,"NAmes"
"274",91500,1456,"Edwards"
"275",159500,1426,"Edwards"
"276",138800,1096,"NAmes"
"277",160000,1251,"NAmes"
"278",137500,1709,"Edwards"
"279",92900,1040,"NAmes"
"280",146000,1200,"NAmes"
"281",129000,936,"NAmes"
"282",128000,1324,"BrkSide"
"283",119500,950,"NAmes"
"284",135000,1134,"NAmes"
"285",159500,1194,"NAmes"
"286",129900,816,"NAmes"
"287",134500,1008,"NAmes"
"288",133700,1040,"NAmes"
"289",112000,960,"Edwards"
"290",118000,698,"Edwards"
"291",115000,1005,"NAmes"
"292",102000,986,"BrkSide"
"293",119000,1252,"NAmes"
"294",144000,1167,"BrkSide"
"295",139000,952,"NAmes"
"296",80000,924,"Edwards"
"297",149000,1576,"BrkSide"
"298",124000,932,"NAmes"
"299",149900,1466,"Edwards"
"300",201800,1820,"NAmes"
"301",179900,1265,"NAmes"
"302",235000,2108,"Edwards"
"303",163000,1261,"NAmes"
"304",93000,1124,"Edwards"
"305",104900,1221,"Edwards"
"306",116050,864,"NAmes"
"307",117000,1348,"BrkSide"
"308",140000,1283,"NAmes"
"309",113000,672,"Edwards"
"310",134500,999,"NAmes"
"311",80500,912,"BrkSide"
"312",115000,912,"NAmes"
"313",143000,1846,"NAmes"
"314",137900,2136,"NAmes"
"315",145000,1138,"NAmes"
"316",147000,912,"NAmes"
"317",127000,1507,"NAmes"
"318",132500,1190,"NAmes"
"319",101800,1224,"NAmes"
"320",142000,1188,"NAmes"
"321",119000,988,"NAmes"
"322",244000,2110,"NAmes"
"323",165400,1656,"Edwards"
"324",127500,1367,"BrkSide"
"325",99900,864,"Edwards"
"326",151000,1054,"NAmes"
"327",128900,1050,"NAmes"
"328",180500,1824,"BrkSide"
"329",181000,1337,"NAmes"
"330",144000,1524,"NAmes"
"331",177000,1357,"Edwards"
"332",137000,1920,"NAmes"
"333",132500,1412,"BrkSide"
"334",180500,1152,"NAmes"
"335",115000,864,"Edwards"
"336",138500,1052,"NAmes"
"337",155000,1128,"NAmes"
"338",140000,1072,"Edwards"
"339",160000,5642,"Edwards"
"340",154000,1246,"NAmes"
"341",130000,1708,"Edwards"
"342",119000,948,"Edwards"
"343",206900,2112,"NAmes"
"344",111000,948,"Edwards"
"345",156500,1478,"NAmes"
"346",72500,720,"BrkSide"
"347",82500,708,"BrkSide"
"348",79000,774,"Edwards"
"349",100000,816,"Edwards"
"350",123000,872,"NAmes"
"351",200000,2634,"NAmes"
"352",171000,1716,"NAmes"
"353",134900,1176,"BrkSide"
"354",110000,892,"NAmes"
"355",149900,1078,"NAmes"
"356",104900,1738,"NAmes"
"357",165500,1661,"NAmes"
"358",117000,1604,"Edwards"
"359",58500,864,"Edwards"
"360",237500,2117,"NAmes"
"361",105000,1258,"Edwards"
"362",131000,1218,"BrkSide"
"363",124000,1584,"NAmes"
"364",123000,900,"NAmes"
"365",137500,1513,"BrkSide"
"366",138000,1904,"NAmes"
"367",120000,1158,"BrkSide"
"368",140000,1668,"NAmes"
"369",90000,1040,"NAmes"
"370",207000,1848,"BrkSide"
"371",124000,1144,"NAmes"
"372",274970,2201,"Edwards"
"373",144000,1344,"NAmes"
"374",142000,1252,"NAmes"
"375",140000,1558,"NAmes"
"376",174000,1537,"NAmes"
"377",120500,864,"NAmes"
"378",121000,952,"BrkSide"
"379",112000,1346,"Edwards"
"380",136000,1792,"NAmes"
"381",145000,1072,"Edwards"
"382",142125,1078,"NAmes"
"383",147500,1256,"Edwards"
